Date,Name,Benchmark,Ccy,value,Portfolio,LookbackPeriod,Measure
31/1/2022,Fund_1,Bcmk_1,USD,1.532943432,Benchmark,MTD,TotalReturn
31/12/2021,Fund_1,Bcmk_1,USD,0.647775844,Benchmark,MTD,TotalReturn
30/11/2021,Fund_1,Bcmk_1,USD,2.012575373,Benchmark,MTD,TotalReturn
31/10/2021,Fund_1,Bcmk_1,USD,0.757317011,Benchmark,MTD,TotalReturn
30/9/2021,Fund_1,Bcmk_1,USD,0.811043366,Benchmark,MTD,TotalReturn
31/8/2021,Fund_1,Bcmk_1,USD,2.550259848,Benchmark,MTD,TotalReturn
31/7/2021,Fund_1,Bcmk_1,USD,1.360713652,Benchmark,MTD,TotalReturn
30/6/2021,Fund_1,Bcmk_1,USD,1.548826444,Benchmark,MTD,TotalReturn
31/5/2021,Fund_1,Bcmk_1,USD,0.409428355,Benchmark,MTD,TotalReturn
30/4/2021,Fund_1,Bcmk_1,USD,2.048514889,Benchmark,MTD,TotalReturn
31/3/2021,Fund_1,Bcmk_1,USD,2.558314598,Benchmark,MTD,TotalReturn
28/2/2021,Fund_1,Bcmk_1,USD,0.782980381,Benchmark,MTD,TotalReturn
31/1/2021,Fund_1,Bcmk_1,USD,1.717823871,Benchmark,MTD,TotalReturn
31/12/2020,Fund_1,Bcmk_1,USD,0.608604001,Benchmark,MTD,TotalReturn
30/11/2020,Fund_1,Bcmk_1,USD,2.713626425,Benchmark,MTD,TotalReturn
31/10/2020,Fund_1,Bcmk_1,USD,0.193499572,Benchmark,MTD,TotalReturn
30/9/2020,Fund_1,Bcmk_1,USD,1.26170076,Benchmark,MTD,TotalReturn
31/8/2020,Fund_1,Bcmk_1,USD,2.367132872,Benchmark,MTD,TotalReturn
31/7/2020,Fund_1,Bcmk_1,USD,0.877192829,Benchmark,MTD,TotalReturn
30/6/2020,Fund_1,Bcmk_1,USD,1.114517062,Benchmark,MTD,TotalReturn
31/5/2020,Fund_1,Bcmk_1,USD,1.035853348,Benchmark,MTD,TotalReturn
30/4/2020,Fund_1,Bcmk_1,USD,0.282094108,Benchmark,MTD,TotalReturn
31/3/2020,Fund_1,Bcmk_1,USD,2.317621957,Benchmark,MTD,TotalReturn
29/2/2020,Fund_1,Bcmk_1,USD,1.56051362,Benchmark,MTD,TotalReturn
31/1/2020,Fund_1,Bcmk_1,USD,2.829124249,Benchmark,MTD,TotalReturn
31/12/2019,Fund_1,Bcmk_1,USD,1.428878823,Benchmark,MTD,TotalReturn
30/11/2019,Fund_1,Bcmk_1,USD,2.790578765,Benchmark,MTD,TotalReturn
31/10/2019,Fund_1,Bcmk_1,USD,1.471639007,Benchmark,MTD,TotalReturn
30/9/2019,Fund_1,Bcmk_1,USD,2.896619643,Benchmark,MTD,TotalReturn
31/8/2019,Fund_1,Bcmk_1,USD,1.513210912,Benchmark,MTD,TotalReturn
31/7/2019,Fund_1,Bcmk_1,USD,2.774426793,Benchmark,MTD,TotalReturn
30/6/2019,Fund_1,Bcmk_1,USD,2.417628372,Benchmark,MTD,TotalReturn
31/5/2019,Fund_1,Bcmk_1,USD,0.081575686,Benchmark,MTD,TotalReturn
30/4/2019,Fund_1,Bcmk_1,USD,2.539503259,Benchmark,MTD,TotalReturn
31/3/2019,Fund_1,Bcmk_1,USD,1.268428613,Benchmark,MTD,TotalReturn
28/2/2019,Fund_1,Bcmk_1,USD,0.468545256,Benchmark,MTD,TotalReturn
31/1/2019,Fund_1,Bcmk_1,USD,2.858233454,Benchmark,MTD,TotalReturn
31/12/2018,Fund_1,Bcmk_1,USD,2.372282083,Benchmark,MTD,TotalReturn
30/11/2018,Fund_1,Bcmk_1,USD,1.540436577,Benchmark,MTD,TotalReturn
31/10/2018,Fund_1,Bcmk_1,USD,2.817267365,Benchmark,MTD,TotalReturn
30/9/2018,Fund_1,Bcmk_1,USD,2.503173892,Benchmark,MTD,TotalReturn
31/8/2018,Fund_1,Bcmk_1,USD,1.210835662,Benchmark,MTD,TotalReturn
31/7/2018,Fund_1,Bcmk_1,USD,0.132419163,Benchmark,MTD,TotalReturn
30/6/2018,Fund_1,Bcmk_1,USD,1.403807568,Benchmark,MTD,TotalReturn
31/5/2018,Fund_1,Bcmk_1,USD,2.961760589,Benchmark,MTD,TotalReturn
30/4/2018,Fund_1,Bcmk_1,USD,2.689150734,Benchmark,MTD,TotalReturn
31/3/2018,Fund_1,Bcmk_1,USD,2.112749883,Benchmark,MTD,TotalReturn
28/2/2018,Fund_1,Bcmk_1,USD,2.233311541,Benchmark,MTD,TotalReturn
31/1/2018,Fund_1,Bcmk_1,USD,1.641176817,Benchmark,MTD,TotalReturn
31/12/2017,Fund_1,Bcmk_1,USD,0.720881787,Benchmark,MTD,TotalReturn
30/11/2017,Fund_1,Bcmk_1,USD,2.128872178,Benchmark,MTD,TotalReturn
31/10/2017,Fund_1,Bcmk_1,USD,2.912072889,Benchmark,MTD,TotalReturn
30/9/2017,Fund_1,Bcmk_1,USD,0.799021967,Benchmark,MTD,TotalReturn
31/8/2017,Fund_1,Bcmk_1,USD,2.874768306,Benchmark,MTD,TotalReturn
31/7/2017,Fund_1,Bcmk_1,USD,2.135010221,Benchmark,MTD,TotalReturn
30/6/2017,Fund_1,Bcmk_1,USD,2.819318984,Benchmark,MTD,TotalReturn
31/5/2017,Fund_1,Bcmk_1,USD,2.318119434,Benchmark,MTD,TotalReturn
30/4/2022,Fund_1,Bcmk_1,USD,1.707884771,ActiveReturn,MTD,TotalReturn
31/3/2022,Fund_1,Bcmk_1,USD,1.323607614,ActiveReturn,MTD,TotalReturn
28/2/2022,Fund_1,Bcmk_1,USD,1.315040306,ActiveReturn,MTD,TotalReturn
31/1/2022,Fund_1,Bcmk_1,USD,2.15370365,ActiveReturn,MTD,TotalReturn
31/12/2021,Fund_1,Bcmk_1,USD,0.281347256,ActiveReturn,MTD,TotalReturn
30/11/2021,Fund_1,Bcmk_1,USD,2.905355183,ActiveReturn,MTD,TotalReturn
31/10/2021,Fund_1,Bcmk_1,USD,1.171164821,ActiveReturn,MTD,TotalReturn
30/9/2021,Fund_1,Bcmk_1,USD,0.606997935,ActiveReturn,MTD,TotalReturn
31/8/2021,Fund_1,Bcmk_1,USD,2.409689089,ActiveReturn,MTD,TotalReturn
31/7/2021,Fund_1,Bcmk_1,USD,2.479962664,ActiveReturn,MTD,TotalReturn
30/6/2021,Fund_1,Bcmk_1,USD,2.130001712,ActiveReturn,MTD,TotalReturn
31/5/2021,Fund_1,Bcmk_1,USD,2.824925016,ActiveReturn,MTD,TotalReturn
30/4/2021,Fund_1,Bcmk_1,USD,0.590726826,ActiveReturn,MTD,TotalReturn
31/3/2021,Fund_1,Bcmk_1,USD,0.019596397,ActiveReturn,MTD,TotalReturn
28/2/2021,Fund_1,Bcmk_1,USD,0.484183608,ActiveReturn,MTD,TotalReturn
31/1/2021,Fund_1,Bcmk_1,USD,2.213130031,ActiveReturn,MTD,TotalReturn
31/12/2020,Fund_1,Bcmk_1,USD,1.764210552,ActiveReturn,MTD,TotalReturn
30/11/2020,Fund_1,Bcmk_1,USD,2.126735735,ActiveReturn,MTD,TotalReturn
31/10/2020,Fund_1,Bcmk_1,USD,1.037377487,ActiveReturn,MTD,TotalReturn
30/9/2020,Fund_1,Bcmk_1,USD,0.805044688,ActiveReturn,MTD,TotalReturn
31/8/2020,Fund_1,Bcmk_1,USD,2.920676536,ActiveReturn,MTD,TotalReturn
31/7/2020,Fund_1,Bcmk_1,USD,0.105707164,ActiveReturn,MTD,TotalReturn
30/6/2020,Fund_1,Bcmk_1,USD,2.327925098,ActiveReturn,MTD,TotalReturn
31/5/2020,Fund_1,Bcmk_1,USD,1.499011779,ActiveReturn,MTD,TotalReturn
30/4/2020,Fund_1,Bcmk_1,USD,0.315998763,ActiveReturn,MTD,TotalReturn
31/3/2020,Fund_1,Bcmk_1,USD,0.683617587,ActiveReturn,MTD,TotalReturn
29/2/2020,Fund_1,Bcmk_1,USD,1.969874052,ActiveReturn,MTD,TotalReturn
31/1/2020,Fund_1,Bcmk_1,USD,0.313713778,ActiveReturn,MTD,TotalReturn
31/12/2019,Fund_1,Bcmk_1,USD,2.195117329,ActiveReturn,MTD,TotalReturn
30/11/2019,Fund_1,Bcmk_1,USD,1.923250481,ActiveReturn,MTD,TotalReturn
31/10/2019,Fund_1,Bcmk_1,USD,2.922487677,ActiveReturn,MTD,TotalReturn
30/9/2019,Fund_1,Bcmk_1,USD,1.372029056,ActiveReturn,MTD,TotalReturn
31/8/2019,Fund_1,Bcmk_1,USD,0.275160004,ActiveReturn,MTD,TotalReturn
31/7/2019,Fund_1,Bcmk_1,USD,0.77986899,ActiveReturn,MTD,TotalReturn
30/6/2019,Fund_1,Bcmk_1,USD,1.021713172,ActiveReturn,MTD,TotalReturn
31/5/2019,Fund_1,Bcmk_1,USD,2.436859374,ActiveReturn,MTD,TotalReturn
30/4/2019,Fund_1,Bcmk_1,USD,2.65896204,ActiveReturn,MTD,TotalReturn
31/3/2019,Fund_1,Bcmk_1,USD,2.519008228,ActiveReturn,MTD,TotalReturn
28/2/2019,Fund_1,Bcmk_1,USD,1.213178183,ActiveReturn,MTD,TotalReturn
31/1/2019,Fund_1,Bcmk_1,USD,2.473357186,ActiveReturn,MTD,TotalReturn
31/12/2018,Fund_1,Bcmk_1,USD,1.443072229,ActiveReturn,MTD,TotalReturn
30/11/2018,Fund_1,Bcmk_1,USD,2.69654161,ActiveReturn,MTD,TotalReturn
31/10/2018,Fund_1,Bcmk_1,USD,2.13748358,ActiveReturn,MTD,TotalReturn
30/9/2018,Fund_1,Bcmk_1,USD,2.797339962,ActiveReturn,MTD,TotalReturn
31/8/2018,Fund_1,Bcmk_1,USD,2.092888223,ActiveReturn,MTD,TotalReturn
31/7/2018,Fund_1,Bcmk_1,USD,1.040183313,ActiveReturn,MTD,TotalReturn
30/6/2018,Fund_1,Bcmk_1,USD,2.152381666,ActiveReturn,MTD,TotalReturn
31/5/2018,Fund_1,Bcmk_1,USD,0.926995719,ActiveReturn,MTD,TotalReturn
30/4/2018,Fund_1,Bcmk_1,USD,0.167252082,ActiveReturn,MTD,TotalReturn
31/3/2018,Fund_1,Bcmk_1,USD,1.958851665,ActiveReturn,MTD,TotalReturn
28/2/2018,Fund_1,Bcmk_1,USD,1.777811433,ActiveReturn,MTD,TotalReturn
31/1/2018,Fund_1,Bcmk_1,USD,0.618539766,ActiveReturn,MTD,TotalReturn
31/12/2017,Fund_1,Bcmk_1,USD,1.990933896,ActiveReturn,MTD,TotalReturn
30/11/2017,Fund_1,Bcmk_1,USD,1.491967014,ActiveReturn,MTD,TotalReturn
31/10/2017,Fund_1,Bcmk_1,USD,0.306773254,ActiveReturn,MTD,TotalReturn
30/9/2017,Fund_1,Bcmk_1,USD,0.041861971,ActiveReturn,MTD,TotalReturn
31/8/2017,Fund_1,Bcmk_1,USD,2.726976486,ActiveReturn,MTD,TotalReturn
31/7/2017,Fund_1,Bcmk_1,USD,2.127644831,ActiveReturn,MTD,TotalReturn
30/6/2017,Fund_1,Bcmk_1,USD,2.455003864,ActiveReturn,MTD,TotalReturn
31/5/2017,Fund_1,Bcmk_1,USD,0.048207323,ActiveReturn,MTD,TotalReturn
30/4/2022,Fund_1,Bcmk_1,USD,0.032729322,Portfolio,1M,TotalReturn
31/3/2022,Fund_1,Bcmk_1,USD,1.429158618,Portfolio,1M,TotalReturn
28/2/2022,Fund_1,Bcmk_1,USD,0.068277978,Portfolio,1M,TotalReturn
31/1/2022,Fund_1,Bcmk_1,USD,1.209515971,Portfolio,1M,TotalReturn
31/12/2021,Fund_1,Bcmk_1,USD,1.766139731,Portfolio,1M,TotalReturn
30/11/2021,Fund_1,Bcmk_1,USD,2.673704278,Portfolio,1M,TotalReturn
31/10/2021,Fund_1,Bcmk_1,USD,1.902486375,Portfolio,1M,TotalReturn
30/9/2021,Fund_1,Bcmk_1,USD,2.131035886,Portfolio,1M,TotalReturn
31/8/2021,Fund_1,Bcmk_1,USD,2.713862858,Portfolio,1M,TotalReturn
31/7/2021,Fund_1,Bcmk_1,USD,0.732330959,Portfolio,1M,TotalReturn
30/6/2021,Fund_1,Bcmk_1,USD,1.032169984,Portfolio,1M,TotalReturn
31/5/2021,Fund_1,Bcmk_1,USD,1.424858543,Portfolio,1M,TotalReturn
30/4/2021,Fund_1,Bcmk_1,USD,0.314177017,Portfolio,1M,TotalReturn
31/3/2021,Fund_1,Bcmk_1,USD,2.829554922,Portfolio,1M,TotalReturn
28/2/2021,Fund_1,Bcmk_1,USD,2.129471767,Portfolio,1M,TotalReturn
31/1/2021,Fund_1,Bcmk_1,USD,0.369984077,Portfolio,1M,TotalReturn
31/12/2020,Fund_1,Bcmk_1,USD,2.14451664,Portfolio,1M,TotalReturn
30/11/2020,Fund_1,Bcmk_1,USD,1.769601655,Portfolio,1M,TotalReturn
31/10/2020,Fund_1,Bcmk_1,USD,1.282256708,Portfolio,1M,TotalReturn
30/9/2020,Fund_1,Bcmk_1,USD,2.060420443,Portfolio,1M,TotalReturn
31/8/2020,Fund_1,Bcmk_1,USD,2.531632696,Portfolio,1M,TotalReturn
31/7/2020,Fund_1,Bcmk_1,USD,1.698519752,Portfolio,1M,TotalReturn
30/6/2020,Fund_1,Bcmk_1,USD,1.202805032,Portfolio,1M,TotalReturn
31/5/2020,Fund_1,Bcmk_1,USD,2.090412273,Portfolio,1M,TotalReturn
30/4/2020,Fund_1,Bcmk_1,USD,1.123082252,Portfolio,1M,TotalReturn
31/3/2020,Fund_1,Bcmk_1,USD,1.678106164,Portfolio,1M,TotalReturn
29/2/2020,Fund_1,Bcmk_1,USD,2.036883783,Portfolio,1M,TotalReturn
31/1/2020,Fund_1,Bcmk_1,USD,1.168887075,Portfolio,1M,TotalReturn
31/12/2019,Fund_1,Bcmk_1,USD,0.471420126,Portfolio,1M,TotalReturn
30/11/2019,Fund_1,Bcmk_1,USD,2.361025468,Portfolio,1M,TotalReturn
31/10/2019,Fund_1,Bcmk_1,USD,0.224120367,Portfolio,1M,TotalReturn
30/9/2019,Fund_1,Bcmk_1,USD,0.537750404,Portfolio,1M,TotalReturn
31/8/2019,Fund_1,Bcmk_1,USD,2.934498885,Portfolio,1M,TotalReturn
31/7/2019,Fund_1,Bcmk_1,USD,0.727147533,Portfolio,1M,TotalReturn
30/6/2019,Fund_1,Bcmk_1,USD,0.282814924,Portfolio,1M,TotalReturn
31/5/2019,Fund_1,Bcmk_1,USD,2.401527343,Portfolio,1M,TotalReturn
30/4/2019,Fund_1,Bcmk_1,USD,1.339254836,Portfolio,1M,TotalReturn
31/3/2019,Fund_1,Bcmk_1,USD,2.964685506,Portfolio,1M,TotalReturn
28/2/2019,Fund_1,Bcmk_1,USD,1.079460771,Portfolio,1M,TotalReturn
31/1/2019,Fund_1,Bcmk_1,USD,2.521441452,Portfolio,1M,TotalReturn
31/12/2018,Fund_1,Bcmk_1,USD,0.157594784,Portfolio,1M,TotalReturn
30/11/2018,Fund_1,Bcmk_1,USD,1.132663779,Portfolio,1M,TotalReturn
31/10/2018,Fund_1,Bcmk_1,USD,2.014382344,Portfolio,1M,TotalReturn
30/9/2018,Fund_1,Bcmk_1,USD,0.218834908,Portfolio,1M,TotalReturn
31/8/2018,Fund_1,Bcmk_1,USD,1.945376217,Portfolio,1M,TotalReturn
31/7/2018,Fund_1,Bcmk_1,USD,1.725544046,Portfolio,1M,TotalReturn
30/6/2018,Fund_1,Bcmk_1,USD,0.150851834,Portfolio,1M,TotalReturn
31/5/2018,Fund_1,Bcmk_1,USD,2.138763858,Portfolio,1M,TotalReturn
30/4/2018,Fund_1,Bcmk_1,USD,2.886342316,Portfolio,1M,TotalReturn
31/3/2018,Fund_1,Bcmk_1,USD,0.15970735,Portfolio,1M,TotalReturn
28/2/2018,Fund_1,Bcmk_1,USD,0.317356247,Portfolio,1M,TotalReturn
31/1/2018,Fund_1,Bcmk_1,USD,0.691668525,Portfolio,1M,TotalReturn
31/12/2017,Fund_1,Bcmk_1,USD,2.205811269,Portfolio,1M,TotalReturn
30/11/2017,Fund_1,Bcmk_1,USD,2.053673117,Portfolio,1M,TotalReturn
31/10/2017,Fund_1,Bcmk_1,USD,1.446403287,Portfolio,1M,TotalReturn
30/9/2017,Fund_1,Bcmk_1,USD,2.73493019,Portfolio,1M,TotalReturn
31/8/2017,Fund_1,Bcmk_1,USD,2.688679597,Portfolio,1M,TotalReturn
31/7/2017,Fund_1,Bcmk_1,USD,1.728364563,Portfolio,1M,TotalReturn
30/6/2017,Fund_1,Bcmk_1,USD,1.143402211,Portfolio,1M,TotalReturn
31/5/2017,Fund_1,Bcmk_1,USD,2.650259885,Portfolio,1M,TotalReturn
30/4/2022,Fund_1,Bcmk_1,USD,1.588272559,Benchmark,1M,TotalReturn
31/3/2022,Fund_1,Bcmk_1,USD,1.949328496,Benchmark,1M,TotalReturn
28/2/2022,Fund_1,Bcmk_1,USD,0.757836746,Benchmark,1M,TotalReturn
31/1/2022,Fund_1,Bcmk_1,USD,2.733774192,Benchmark,1M,TotalReturn
31/12/2021,Fund_1,Bcmk_1,USD,2.298803927,Benchmark,1M,TotalReturn
30/11/2021,Fund_1,Bcmk_1,USD,2.598580679,Benchmark,1M,TotalReturn
31/10/2021,Fund_1,Bcmk_1,USD,0.386466763,Benchmark,1M,TotalReturn
30/9/2021,Fund_1,Bcmk_1,USD,0.81940227,Benchmark,1M,TotalReturn
31/8/2021,Fund_1,Bcmk_1,USD,0.027894654,Benchmark,1M,TotalReturn
31/7/2021,Fund_1,Bcmk_1,USD,1.224740451,Benchmark,1M,TotalReturn
30/6/2021,Fund_1,Bcmk_1,USD,1.533301882,Benchmark,1M,TotalReturn
31/5/2021,Fund_1,Bcmk_1,USD,2.852806078,Benchmark,1M,TotalReturn
30/4/2021,Fund_1,Bcmk_1,USD,0.572098352,Benchmark,1M,TotalReturn
31/3/2021,Fund_1,Bcmk_1,USD,0.546934037,Benchmark,1M,TotalReturn
28/2/2021,Fund_1,Bcmk_1,USD,2.263982012,Benchmark,1M,TotalReturn
31/1/2021,Fund_1,Bcmk_1,USD,1.715160682,Benchmark,1M,TotalReturn
31/12/2020,Fund_1,Bcmk_1,USD,1.129057807,Benchmark,1M,TotalReturn
30/11/2020,Fund_1,Bcmk_1,USD,0.067609163,Benchmark,1M,TotalReturn
31/10/2020,Fund_1,Bcmk_1,USD,2.327940089,Benchmark,1M,TotalReturn
30/9/2020,Fund_1,Bcmk_1,USD,0.392039266,Benchmark,1M,TotalReturn
31/8/2020,Fund_1,Bcmk_1,USD,0.732135739,Benchmark,1M,TotalReturn
31/7/2020,Fund_1,Bcmk_1,USD,2.232103093,Benchmark,1M,TotalReturn
30/6/2020,Fund_1,Bcmk_1,USD,1.752764612,Benchmark,1M,TotalReturn
31/5/2020,Fund_1,Bcmk_1,USD,0.5504873,Benchmark,1M,TotalReturn
30/4/2020,Fund_1,Bcmk_1,USD,0.008436165,Benchmark,1M,TotalReturn
31/3/2020,Fund_1,Bcmk_1,USD,2.356625204,Benchmark,1M,TotalReturn
29/2/2020,Fund_1,Bcmk_1,USD,0.908471799,Benchmark,1M,TotalReturn
31/1/2020,Fund_1,Bcmk_1,USD,2.552163272,Benchmark,1M,TotalReturn
31/12/2019,Fund_1,Bcmk_1,USD,1.079314552,Benchmark,1M,TotalReturn
30/11/2019,Fund_1,Bcmk_1,USD,1.573705538,Benchmark,1M,TotalReturn
31/10/2019,Fund_1,Bcmk_1,USD,1.7628266,Benchmark,1M,TotalReturn
30/9/2019,Fund_1,Bcmk_1,USD,0.868160161,Benchmark,1M,TotalReturn
31/8/2019,Fund_1,Bcmk_1,USD,1.263172116,Benchmark,1M,TotalReturn
31/7/2019,Fund_1,Bcmk_1,USD,2.051117711,Benchmark,1M,TotalReturn
30/6/2019,Fund_1,Bcmk_1,USD,1.444633718,Benchmark,1M,TotalReturn
31/5/2019,Fund_1,Bcmk_1,USD,2.73883771,Benchmark,1M,TotalReturn
30/4/2019,Fund_1,Bcmk_1,USD,2.665351825,Benchmark,1M,TotalReturn
31/3/2019,Fund_1,Bcmk_1,USD,2.88381889,Benchmark,1M,TotalReturn
28/2/2019,Fund_1,Bcmk_1,USD,1.130676889,Benchmark,1M,TotalReturn
31/1/2019,Fund_1,Bcmk_1,USD,0.64161714,Benchmark,1M,TotalReturn
31/12/2018,Fund_1,Bcmk_1,USD,2.418374472,Benchmark,1M,TotalReturn
30/11/2018,Fund_1,Bcmk_1,USD,1.790463371,Benchmark,1M,TotalReturn
31/10/2018,Fund_1,Bcmk_1,USD,0.558132095,Benchmark,1M,TotalReturn
30/9/2018,Fund_1,Bcmk_1,USD,1.153718924,Benchmark,1M,TotalReturn
31/8/2018,Fund_1,Bcmk_1,USD,1.437922245,Benchmark,1M,TotalReturn
31/7/2018,Fund_1,Bcmk_1,USD,0.173398224,Benchmark,1M,TotalReturn
30/6/2018,Fund_1,Bcmk_1,USD,1.961891579,Benchmark,1M,TotalReturn
31/5/2018,Fund_1,Bcmk_1,USD,1.909805029,Benchmark,1M,TotalReturn
30/4/2018,Fund_1,Bcmk_1,USD,1.643510161,Benchmark,1M,TotalReturn
31/3/2018,Fund_1,Bcmk_1,USD,2.667965509,Benchmark,1M,TotalReturn
28/2/2018,Fund_1,Bcmk_1,USD,1.097121743,Benchmark,1M,TotalReturn
31/1/2018,Fund_1,Bcmk_1,USD,2.650197862,Benchmark,1M,TotalReturn
31/12/2017,Fund_1,Bcmk_1,USD,1.128753649,Benchmark,1M,TotalReturn
30/11/2017,Fund_1,Bcmk_1,USD,1.370545267,Benchmark,1M,TotalReturn
31/10/2017,Fund_1,Bcmk_1,USD,1.05878418,Benchmark,1M,TotalReturn
30/9/2017,Fund_1,Bcmk_1,USD,0.289433846,Benchmark,1M,TotalReturn
